,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
25,Antonín Barák,MF,cz Czech Republic,26,1994,3,2,183,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.07,0.14,0.20,0.07,0.20,Matches,01efac19
26,Enis Bardhi,MF,mk North Macedonia,25,1995,3,3,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.07,0.14,0.22,0.07,0.22,Matches,cac2537b
27,Nicolò Barella,MF,it Italy,23,1997,6,6,469,5.2,1,1,1,0,0,2,0,0.19,0.19,0.38,0.19,0.38,0.3,0.3,0.4,0.7,0.06,0.07,0.14,0.06,0.14,Matches,6928979a
28,Dmitriy Barinov,DFMF,ru Russia,24,1996,2,2,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d7c09951
29,Borna Barišić,DF,hr Croatia,28,1992,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,712dd708
30,Alessandro Bastoni,DF,it Italy,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.42,0.42,0.00,0.42,Matches,75b86fb3
31,Michy Batshuayi Tunga,MF,be Belgium,27,1993,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2973d8ff
32,Julian Baumgartlinger,MF,at Austria,33,1988,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,69374ff5
33,Christoph Baumgartner,FW,at Austria,21,1999,4,4,246,2.7,1,0,1,0,0,0,0,0.37,0.00,0.37,0.37,0.37,0.3,0.3,0.1,0.3,0.11,0.02,0.13,0.11,0.13,Matches,437f2b00
34,Jan Bednarek,DF,pl Poland,24,1996,3,3,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matches,4115ce4e
35,Egzon Bejtulai,DFMF,mk North Macedonia,27,1994,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7300a331
36,Jude Bellingham,MF,eng England,17,2003,3,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,57d88cf9
37,Andrea Belotti,FW,it Italy,27,1993,6,1,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.2,0.46,0.01,0.48,0.46,0.48,Matches,d705ba44
38,László Bénes,MF,sk Slovakia,23,1997,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.26,0.26,0.00,0.26,Matches,fe888e39
39,Pierre Bengtsson,DFMF,se Sweden,32,1988,3,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d1992a3b
40,Loris Benito,DF,ch Switzerland,29,1992,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f5b6fb78
41,Christian Benteke Liolo,FW,be Belgium,30,1990,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ab070c55
42,Karim Benzema,FW,fr France,33,1987,4,4,346,3.8,4,0,3,1,1,0,0,1.04,0.00,1.04,0.78,0.78,3.0,2.2,0.2,2.5,0.78,0.06,0.84,0.58,0.65,Matches,70d74ece
43,Domenico Berardi,FW,it Italy,26,1994,6,3,374,4.2,0,1,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,1.1,1.1,1.1,2.2,0.27,0.26,0.52,0.27,0.52,Matches,53a0e358
44,Bartosz Bereszyński,DF,pl Poland,28,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,61b3978f
45,Marcus Berg,FW,se Sweden,34,1986,4,2,178,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.44,0.09,0.54,0.44,0.54,Matches,b39bf63f
46,Steven Berghuis,DFFW,nl Netherlands,29,1991,2,0,55,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.07,0.20,0.27,0.07,0.27,Matches,713c144a
47,Federico Bernardeschi,FW,it Italy,26,1994,4,1,129,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.28,0.35,0.08,0.35,Matches,ee93c1a9
48,Artem Besedin,FWDF,ua Ukraine,24,1996,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matches,11c0fa9d
49,Roman Bezus,MF,ua Ukraine,30,1990,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a0b730dc
50,Daley Blind,DF,nl Netherlands,30,1990,4,4,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.17,0.17,0.00,0.17,Matches,691bef82
51,Nicolai Møller Boilesen,DF,dk Denmark,28,1992,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,08fe932d
52,Leonardo Bonucci,DF,it Italy,33,1987,7,7,675,7.5,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.4,1.4,0.14,0.05,0.18,0.14,0.18,Matches,52ec54d0
53,Jan Bořil,DF,cz Czech Republic,30,1991,4,4,360,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.01,0.04,0.03,0.04,Matches,2b3efa4a
54,Endre Botka,DF,hu Hungary,26,1994,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2cb77ec6
